word,label
love,positive
terrific,positive
admired,positive
jolly,positive
brave,positive
fun,positive
engaged,positive
happy,positive
wonderful,positive
hopeful,positive
free,positive
confident,positive
secure,positive
lively,positive
amazing,positive
friendly,positive
awesome,positive
beautiful,positive
kind,positive
strong,positive
joyful,positive
courageous,positive
carefree,positive
nice,positive
brave,positive
rejected,negative
afraid,negative
regretful,negative
coward,negative
embarrassed,negative
sad,negative
lonely,negative
alone,negative
displeased,negative
panic,negative
terrified,negative
loser,negative
frustrated,negative
lost,negative
feeble,negative
failure,negative
helpless,negative
disgusted,negative
ugly,negative
horrible,negative
unhappy,negative
disgusting,negative
terrible,negative
scared,negative
hate,negative
