word,label
love,positive
beautiful,positive
gorgeous,positive
pretty,positive
kind,positive
nice,positive
welcoming,positive
happy,positive
exciting,positive
wonderful,positive
amazing,positive
awesome,positive
joy,positive
fun,positive
good,positive
friendly,positive
smart,positive
bright,positive
funny,positive
fearless,positive
powerful,positive
polite,positive
intelligent,positive
honest,positive
hate,negative
ugly,negative
rude,negative
harsh,negative
impolite,negative
mean,negative
horrible,negative
terrible,negative
scary,negative
terrified,negative
bad,negative
sad,negative
dumb,negative
liar,negative
afraid,negative
loser,negative
disgusted,negative
failure,negative
fearful,negative
embarrassing,negative
nasty,negative
unpleasant,negative
awful,negative
