word,label
loved,positive
terrific,positive
admired,positive
jolly,positive
brave,positive
fun,positive
engaged,positive
intimate,positive
alive,positive
hopeful,positive
free,positive
confident,positive
secure,positive
lively,positive
dignified,positive
friendly,positive
happy,positive
untroubled,positive
festive,positive
strong,positive
joyful,positive
satisfied,positive
carefree,positive
easygoing,positive
masterful,positive
rejected,negative
afraid,negative
regretful,negative
coward,negative
embarrassed,negative
sad,negative
lonely,negative
alone,negative
displeased,negative
panic,negative
terrified,negative
loser,negative
frustrated,negative
lost,negative
feeble,negative
failure,negative
helpless,negative
disgusted,negative
impotent,negative
confused,negative
unhappy,negative
troubled,negative
insecure,negative
scarred,negative
inferior,negative
